iter	MultiClass
0	1.09143347
1	1.08470131
2	1.076948665
3	1.07014123
4	1.065940539
5	1.060182277
6	1.05482594
7	1.05080924
8	1.045571978
9	1.041293037
10	1.039982177
11	1.038552848
12	1.033982798
13	1.030038962
14	1.02522004
15	1.023732435
16	1.022000951
17	1.020423128
18	1.019534495
19	1.016426268
20	1.014012248
21	1.013396733
22	1.011557459
23	1.00762628
24	1.007251372
25	1.004720201
26	1.002995393
27	1.001964198
28	1.000441169
29	0.9999400542
30	0.9989127361
31	0.9978485907
32	0.9959243482
33	0.9947712673
34	0.9928497459
35	0.9920989912
36	0.9899056773
37	0.9889272316
38	0.9870334817
39	0.9846504775
40	0.9830023222
41	0.9818632
42	0.9818631305
43	0.9798192044
44	0.9777126186
45	0.9764856399
46	0.9760667087
47	0.9752046068
48	0.9729915952
49	0.972350237
50	0.9704902288
51	0.96782751
52	0.9662902071
53	0.9653691498
54	0.964461763
55	0.9631328981
56	0.9623683979
57	0.9618464711
58	0.9609092245
59	0.960733873
60	0.9605274936
61	0.9602715901
62	0.9591416184
63	0.9590835588
64	0.9570932525
65	0.9568590548
66	0.9548840941
67	0.954868473
68	0.9535318916
69	0.9533596133
70	0.9527735768
71	0.9524118673
72	0.9508920463
73	0.9497495161
74	0.9492155396
75	0.9490602908
76	0.9484737514
77	0.9461112919
78	0.9455249546
79	0.9454321763
80	0.9451767146
81	0.9446194099
82	0.9431839822
83	0.9424928099
84	0.9403534979
85	0.9397524184
86	0.9394882662
87	0.9366538685
88	0.9356711604
89	0.9345600154
90	0.9345599619
91	0.9342493944
92	0.932755097
93	0.9304087146
94	0.9288791744
95	0.9283832355
96	0.9281697898
97	0.9259741613
98	0.9250348986
99	0.9241693843
100	0.9231837465
101	0.9230033245
102	0.9210316453
103	0.9191450973
104	0.9190649124
105	0.9170525006
106	0.9149688248
107	0.9142594932
108	0.9131727021
109	0.9128234161
110	0.9122575114
111	0.9103744668
112	0.9090971887
113	0.9082973301
114	0.9067884927
115	0.9049801533
116	0.9045345706
117	0.903268424
118	0.9027574108
119	0.9023036676
120	0.9012133919
121	0.9008952891
122	0.8999975384
123	0.8997091115
124	0.8990084742
125	0.8972559418
126	0.8948019396
127	0.8947465741
128	0.8940462559
129	0.8940056828
130	0.8930757221
131	0.8921939124
132	0.8913718763
133	0.8901979124
134	0.8881649388
135	0.8864110252
136	0.8844966999
137	0.8837875032
138	0.8837708622
139	0.8837707538
140	0.8821362119
141	0.8817421921
142	0.8804235578
143	0.8803243847
144	0.8803242909
145	0.8803234715
146	0.8803233949
147	0.880170109
148	0.8797657564
149	0.8796732567
150	0.8784911753
151	0.8782792295
152	0.8781670262
153	0.8770850913
154	0.8770850224
155	0.8767665076
156	0.8756931601
157	0.8738085895
158	0.8729365333
159	0.8725209232
160	0.8712248462
161	0.8711737128
162	0.8701769459
163	0.8700930015
164	0.8699287621
165	0.8698574095
166	0.8688873715
167	0.8688726237
168	0.8671842049
169	0.8671551483
170	0.8656688994
171	0.8649775641
172	0.8637507658
173	0.8627661964
174	0.862766111
175	0.8613897263
176	0.8603541417
177	0.8597830256
178	0.8578829036
179	0.8563986237
180	0.8563813611
181	0.854704774
182	0.854463251
183	0.8544563802
184	0.8542316066
185	0.8540856245
186	0.8537630606
187	0.8527991646
188	0.851417844
189	0.8509045642
190	0.849445244
191	0.8482882914
192	0.8477435214
193	0.846303365
194	0.8448299468
195	0.8435186309
196	0.8414823408
197	0.8399460122
198	0.8383937837
199	0.8369663352
