iter	Passed	Remaining
0	77	15391
1	95	9468
2	113	7452
3	130	6382
4	148	5799
5	168	5449
6	189	5232
7	211	5072
8	231	4906
9	249	4738
10	261	4496
11	267	4195
12	285	4099
13	302	4013
14	321	3959
15	337	3881
16	357	3847
17	372	3763
18	378	3610
19	395	3560
20	414	3529
21	426	3449
22	442	3404
23	458	3364
24	469	3285
25	485	3252
26	502	3220
27	523	3215
28	545	3218
29	554	3143
30	576	3141
31	596	3131
32	617	3125
33	637	3114
34	655	3088
35	672	3061
36	692	3050
37	716	3053
38	734	3032
39	752	3009
40	768	2979
41	786	2959
42	790	2885
43	808	2865
44	827	2848
45	842	2822
46	855	2784
47	873	2766
48	893	2753
49	909	2729
50	928	2713
51	945	2689
52	963	2672
53	980	2651
54	996	2627
55	1013	2606
56	1028	2581
57	1047	2565
58	1065	2545
59	1075	2510
60	1090	2484
61	1099	2447
62	1116	2428
63	1123	2388
64	1141	2370
65	1153	2342
66	1170	2322
67	1177	2286
68	1197	2274
69	1207	2242
70	1222	2220
71	1247	2218
72	1269	2207
73	1285	2188
74	1296	2160
75	1305	2129
76	1324	2115
77	1339	2095
78	1351	2069
79	1357	2036
80	1373	2018
81	1391	2002
82	1407	1984
83	1428	1972
84	1444	1954
85	1471	1950
86	1491	1937
87	1510	1922
88	1530	1909
89	1547	1891
90	1550	1857
91	1566	1838
92	1580	1818
93	1596	1800
94	1614	1783
95	1630	1766
96	1645	1747
97	1665	1733
98	1682	1716
99	1697	1697
100	1712	1678
101	1724	1656
102	1741	1639
103	1759	1623
104	1769	1600
105	1784	1582
106	1799	1564
107	1815	1546
108	1834	1531
109	1852	1515
110	1867	1497
111	1884	1480
112	1901	1464
113	1918	1447
114	1935	1430
115	1952	1413
116	1970	1397
117	1986	1380
118	2001	1362
119	2018	1345
120	2034	1328
121	2054	1313
122	2073	1298
123	2092	1282
124	2111	1266
125	2128	1250
126	2144	1232
127	2155	1212
128	2174	1197
129	2181	1174
130	2201	1159
131	2219	1143
132	2238	1127
133	2255	1110
134	2269	1092
135	2284	1075
136	2300	1058
137	2317	1041
138	2323	1019
139	2327	997
140	2343	980
141	2360	964
142	2376	947
143	2385	927
144	2389	906
145	2396	886
146	2400	865
147	2414	848
148	2430	831
149	2440	813
150	2455	796
151	2474	781
152	2487	764
153	2502	747
154	2506	727
155	2524	712
156	2539	695
157	2555	679
158	2573	663
159	2589	647
160	2607	631
161	2613	613
162	2630	597
163	2637	578
164	2656	563
165	2665	545
166	2683	530
167	2692	512
168	2709	496
169	2719	479
170	2735	463
171	2755	448
172	2778	433
173	2797	418
174	2801	400
175	2818	384
176	2838	368
177	2855	352
178	2872	336
179	2889	321
180	2897	304
181	2913	288
182	2932	272
183	2939	255
184	2952	239
185	2962	222
186	2977	207
187	2994	191
188	3012	175
189	3029	159
190	3043	143
191	3060	127
192	3075	111
193	3093	95
194	3109	79
195	3124	63
196	3140	47
197	3157	31
198	3174	15
199	3189	0
