Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Vehicle_Type
200720D003001,Slight,02-01-2019,52.513668,Darkness - lights lit,Birmingham,-1.901975,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D003101,Slight,02-01-2019,52.502396,Daylight,Birmingham,-1.867086,1,2,Wet or damp,Single carriageway,Urban,Car
200720D003802,Serious,03-01-2019,52.563201,Daylight,Birmingham,-1.822793,1,1,Dry,Single carriageway,Urban,Car
200720D005801,Slight,02-01-2019,52.493431,Daylight,Birmingham,-1.818507,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D005901,Slight,05-01-2019,52.510805,Darkness - lights lit,Birmingham,-1.834202,1,3,Dry,Dual carriageway,Urban,Car
200720D006001,Slight,04-01-2019,52.487709,Daylight,Birmingham,-1.840032,3,2,Dry,Single carriageway,Urban,Car
200720D006101,Slight,05-01-2019,52.502233,Darkness - lights lit,Birmingham,-1.882996,1,2,Dry,Single carriageway,Urban,Car
200720D007001,Slight,08-01-2019,52.490117,Daylight,Birmingham,-1.826474,1,2,Wet or damp,Single carriageway,Urban,Car
200720D007101,Slight,07-01-2019,52.518845,Daylight,Birmingham,-1.800865,1,1,Wet or damp,Dual carriageway,Urban,Motorcycle 50cc and under
200720D008403,Slight,06-01-2019,52.47513,Darkness - lighting unknown,Birmingham,-1.845672,1,2,Wet or damp,Single carriageway,Urban,Car
200720D010203,Slight,06-01-2019,52.473164,Darkness - lights lit,Birmingham,-1.854954,5,2,Wet or damp,Single carriageway,Urban,Car
200720D011101,Slight,12-01-2019,52.507927,Darkness - lights lit,Birmingham,-1.833181,1,2,Wet or damp,Dual carriageway,Urban,Car
200720D012801,Slight,09-01-2019,52.487607,Darkness - lights lit,Birmingham,-1.831491,1,2,Wet or damp,Single carriageway,Urban,Van / Goods 3.5 tonnes mgw or under
200720D012901,Slight,13-01-2019,52.509191,Darkness - lights lit,Birmingham,-1.837302,2,2,Wet or damp,Dual carriageway,Urban,Taxi/Private hire car
200720D013001,Slight,08-01-2019,52.495335,Darkness - lights lit,Birmingham,-1.828957,1,2,Dry,Single carriageway,Urban,Car
200720D013101,Serious,09-01-2019,52.487348,Daylight,Birmingham,-1.839003,1,1,Wet or damp,Single carriageway,Urban,Car
200720D013401,Slight,08-01-2019,52.512244,Darkness - lights unlit,Birmingham,-1.834491,4,2,Wet or damp,Dual carriageway,Urban,Car
200720D013501,Slight,08-01-2019,52.51951,Darkness - lighting unknown,Birmingham,-1.900636,1,2,Wet or damp,Single carriageway,Urban,Car
200720D014903,Slight,05-01-2019,52.470343,Darkness - lights lit,Birmingham,-1.829201,2,2,Wet or damp,Single carriageway,Urban,Car
200720D015003,Slight,15-01-2019,52.494891,Daylight,Birmingham,-1.777995,1,2,Dry,Single carriageway,Urban,Goods 7.5 tonnes mgw and over
200720D015103,Slight,12-01-2019,52.472935,Darkness - lights lit,Birmingham,-1.767653,4,2,Wet or damp,Single carriageway,Urban,Car
200720D015203,Slight,14-01-2019,52.474259,Darkness - lights lit,Birmingham,-1.869084,3,2,Dry,Single carriageway,Urban,Car
200720D015703,Serious,14-01-2019,52.498871,Darkness - lights lit,Birmingham,-1.791675,1,1,Dry,Roundabout,Urban,Car
200720D015903,Slight,06-01-2019,52.471927,Darkness - lights lit,Birmingham,-1.873655,1,1,Wet or damp,Dual carriageway,Urban,Car
200720D016003,Slight,05-01-2019,52.471218,Darkness - lights lit,Birmingham,-1.813299,1,2,Wet or damp,Single carriageway,Urban,Car
200720D016801,Slight,14-01-2019,52.507427,Daylight,Birmingham,-1.863976,1,1,Dry,Dual carriageway,Urban,Goods 7.5 tonnes mgw and over
